Posizione 	 Intensita'
-5038 	 2458
-5029 	 2457
-5023 	 2444
-5002 	 2446
-4996 	 2447
-4990 	 2450
-4984 	 2450
-4978 	 2448
-4969 	 2444
-4960 	 2452
-4951 	 2447
-4942 	 2442
-4933 	 2451
-4921 	 2454
-4900 	 2437
-4876 	 2382
-4867 	 2359
-4861 	 2352
-4810 	 2818
-4786 	 2851
-4720 	 2410
-4699 	 2375
-4693 	 2368
-4675 	 2328
-4669 	 2333
-4552 	 2385
-4546 	 2405
-4540 	 2408
-4504 	 2373
-4498 	 2373
-4381 	 2449
-4375 	 2449
-4345 	 2680
-4336 	 2651
-4315 	 2525
-4309 	 2520
-4186 	 2453
-4174 	 2437
-4168 	 2436
-4150 	 2443
-4144 	 2444
-4135 	 2439
-4126 	 2433
-4006 	 2470
-3943 	 2579
-3823 	 2545
-3811 	 2586
-3796 	 2630
-3772 	 2509
-3766 	 2498
-3628 	 2427
-3604 	 2541
-3463 	 2567
-3412 	 2632
-3286 	 2418
-3250 	 2555
-3241 	 2547
-3103 	 2762
-3070 	 3137
-3046 	 2950
-2917 	 2457
-2890 	 2578
-2875 	 2634
-2749 	 2737
-2743 	 2739
-2704 	 2817
-2566 	 2783
-2509 	 2546
-2395 	 2439
-2353 	 2542
-2167 	 2851
-2014 	 2876
-2002 	 2896
-1981 	 2701
-1858 	 3880
-1798 	 4349
-1678 	 3548
-1591 	 3109
-1498 	 3409
-1315 	 4610
-1276 	 4400
-1141 	 3278
-1084 	 5695
-964 	 10438
-907 	 18317
-784 	 7892
-733 	 13038
-613 	 11389
-559 	 19576
-430 	 34275
-376 	 47135
-253 	 49434
-202 	 77990
-76 	 119886
-22 	 126685
104 	 149268
155 	 101238
281 	 62109
332 	 37765
464 	 19578
506 	 18831
647 	 14923
686 	 9808
812 	 12241
860 	 11504
992 	 12369
1043 	 11972
1172 	 5148
1217 	 4213
1343 	 5464
1391 	 9122
1523 	 6145
1580 	 5428
1691 	 3180
1745 	 3739
1880 	 3984
1931 	 4753
2060 	 3360
2108 	 2699
2231 	 3482
2279 	 3785
2408 	 3039
2513 	 3014
2615 	 2626
2786 	 2927
2792 	 2946
2819 	 2911
2933 	 2646
2996 	 2641
3125 	 2732
3185 	 2897
3317 	 2460
3326 	 2462
3338 	 2451
3479 	 2464
3536 	 2568
3671 	 2557
3689 	 2646
3731 	 2435
3842 	 2483
3896 	 2836
4013 	 2451
4124 	 2680
4130 	 2665
4169 	 2498
4175 	 2488
4217 	 2395
4226 	 2393
4235 	 2394
4310 	 3040
4403 	 2315
4412 	 2313
4418 	 2323
4484 	 2736
4568 	 2424
4574 	 2392
4580 	 2381
4589 	 2366
4628 	 2504
4676 	 2952
4757 	 2428
4763 	 2433
4769 	 2438
4784 	 2424
4790 	 2421
4802 	 2399
4808 	 2414
4931 	 2339
4943 	 2320
4955 	 2326
4970 	 2337
